model,environment,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,evaluated_env
curriculum_sparse,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,8,complete,sparse,0.007,0.458,0.0,0.0,seen
curriculum_sparse,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,8,incomplete,sparse,0.001,0.3,0.0,0.0,seen
curriculum_sparse,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,8,complete,sparse,0.008,0.4,0.0,0.0,seen
curriculum_sparse,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,8,complete,sparse,0.005,0.5,0.0,0.0,seen
curriculum_sparse,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,8,incomplete,sparse,0.001,0.3,0.0,0.0,seen
curriculum_sparse,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,8,complete,sparse,0.006,0.49,0.033,0.18,seen
curriculum_sparse,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,8,incomplete,sparse,0.008,0.4,0.0,0.0,seen
curriculum_sparse,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,8,complete,sparse,0.005,0.5,0.0,0.0,seen
curriculum_sparse,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,8,complete,sparse,0.008,0.4,0.0,0.0,seen
curriculum_sparse,IP_arial_Approach2_525753.0_2026037.3333333335.z8,0.26-0.51,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,8,complete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,8,complete,sparse,0.005,0.5,0.0,0.0,seen
curriculum_sparse,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,8,incomplete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,8,complete,sparse,0.005,0.5,0.0,0.0,seen
curriculum_sparse,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,8,complete,sparse,0.008,0.4,0.0,0.0,seen
curriculum_sparse,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,8,incomplete,sparse,0.01,0.0,0.0,0.0,seen
curriculum_sparse,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,8,complete,sparse,0.007,0.458,0.0,0.0,seen
curriculum_sparse,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,8,incomplete,sparse,0.008,0.4,0.0,0.0,seen
curriculum_sparse,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,8,complete,sparse,0.004,0.49,0.0,0.0,seen
curriculum_sparse,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,8,incomplete,sparse,0.008,0.4,0.0,0.0,seen
curriculum_sparse,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,8,complete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,8,complete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,8,incomplete,sparse,0.008,0.4,0.0,0.0,seen
curriculum_sparse,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,8,complete,sparse,0.007,0.458,0.0,0.0,seen
curriculum_sparse,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,8,complete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,8,complete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,8,incomplete,sparse,0.009,0.3,0.0,0.0,seen
curriculum_sparse,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,8,complete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,8,incomplete,sparse,0.009,0.3,0.0,0.0,seen
curriculum_sparse,AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.76-1,8,complete,sparse,0.006,0.49,0.0,0.0,seen
curriculum_sparse,AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.76-1,8,incomplete,sparse,0.004,0.49,0.0,0.0,seen
curriculum_sparse,SVY_Average-Regular_Approach2_528244.1730804583_1513859.7005024818.z8,0.76-1,8,complete,sparse,0.003,0.458,0.0,0.0,unseen
curriculum_sparse,MP_Average-Regular_Approach2_526898.0_1395280.0.z8,0.26-0.51,8,complete,sparse,0.0,0.0,0.0,0.0,unseen
curriculum_sparse,MP_Average-Regular_Approach2_526898.0_1395280.0.z8,0.26-0.51,8,incomplete,sparse,0.0,0.0,0.0,0.0,unseen
curriculum_sparse,VNM_arial_Approach1_547016.125_2444038.260869565.z8,0.51-0.76,8,complete,sparse,0.005,0.5,0.0,0.0,unseen
curriculum_sparse,IC_Average-Regular_Approach2_527236.4335374576_1289313.877935378.z8,0.51-0.76,8,complete,sparse,0.003,0.458,0.0,0.0,unseen
curriculum_sparse,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,8,complete,sparse,0.01,0.0,0.0,0.0,unseen
curriculum_sparse,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,8,incomplete,sparse,0.01,0.0,0.0,0.0,unseen
curriculum_sparse,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,8,complete,sparse,0.003,0.458,0.0,0.0,unseen
curriculum_sparse,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,8,incomplete,sparse,0.007,0.458,0.0,0.0,unseen
curriculum_sparse,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,8,complete,sparse,0.008,0.4,0.0,0.0,unseen
curriculum_sparse,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,8,incomplete,sparse,0.003,0.458,0.0,0.0,unseen
curriculum_sparse,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,8,complete,sparse,0.006,0.49,0.0,0.0,unseen
curriculum_sparse,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,8,incomplete,sparse,0.001,0.3,0.0,0.0,unseen
curriculum_sparse,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,8,complete,sparse,0.007,0.458,0.0,0.0,unseen
curriculum_sparse,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,8,incomplete,sparse,0.003,0.458,0.0,0.0,unseen
curriculum_sparse,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,8,complete,sparse,0.004,0.49,0.0,0.0,unseen
curriculum_sparse,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,8,incomplete,sparse,0.009,0.3,0.0,0.0,unseen
curriculum_sparse,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,8,complete,sparse,0.01,0.0,0.0,0.0,unseen
curriculum_sparse,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,8,incomplete,sparse,0.01,0.0,0.0,0.0,unseen
curriculum_sparse,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,8,complete,sparse,0.005,0.5,0.0,0.0,unseen
curriculum_sparse,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,8,incomplete,sparse,0.004,0.49,0.0,0.0,unseen
curriculum_sparse,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,8,complete,sparse,0.004,0.49,0.0,0.0,unseen
curriculum_sparse,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,8,incomplete,sparse,0.007,0.458,0.0,0.0,unseen
curriculum_sparse,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,8,complete,sparse,0.007,0.458,0.0,0.0,unseen
curriculum_sparse,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,8,incomplete,sparse,0.009,0.3,0.0,0.0,unseen
curriculum_sparse,U_perspire_Approach2_502763.3333333333_1556832.6315789474.z8,0-0.26,8,complete,sparse,0.0,0.0,0.0,0.0,unseen
curriculum_sparse,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,8,complete,sparse,0.01,0.0,0.0,0.0,unseen
curriculum_sparse,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,8,incomplete,sparse,0.01,0.0,0.0,0.0,unseen
